"","prolificID","participant","NRemoved","repeatAgree","musicianYN","EmotionalContent","Contour","Dissonance","IntervalVariety","IntervalSize","ImpliedHarmony","Other","Gender","Age","HoursWeekListen","HoursWeekListenJazz","GenresListen","InstrumentYN","Instrument0w","AgeStoppedInstrument","FormalTrainingTypes","YearsFormalTraining","AgeStartedTraining","PrimaryInstrument","AgeStartedPrimary","PrimaryProficiency","PrimaryYears","PrimaryFormalYears","OtherInst1","OtherInst1Years","OtherInst2","OtherInst2Years","OtherInst3","OtherInst3Years","OtherInst4","OtherInst4Years","OtherInst5","OtherInst5Years","ImpProficiency","YearsFormalImp","YearsTheory","GenresPlayed","PrimaryGenre","PlayHours611","ImpHours611","PlayHours1217","ImpHours1217","PlayHours18","ImpHours18","PlayHoursNow","ImpHoursNow","PercentImp","Comments"
"11","5c1a9424a329230001ecaabd","JN_12",6,0.559322034,0,3,3,3,5,2,5,"I tried to use my gut feeling to decide whether both melodies could be part of the same, longer melody",2,34,15,0,"Rock,Pop,Country",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","5c33496ec75f190001e7ed92","JN_13",9,0.576271186,1,5,5,5,5,3,5,NA,1,37,10,1,"Rock,Pop,Electronic/dance,Jazz,Metal",1,1,NA,"None",0,0,"guitar",15,"4",22,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4",0,0,"Rock,Metal","black metal",0,0,10,5,20,5,10,5,50,NA
"13","5c35655f87b777000170d85a","JN_14",9,0.593220339,0,3,3,5,5,5,3,NA,1,32,10,0,"Rock,Electronic/dance,Classical,Folk",1,0,18,"None",0,0,"Piano",13,"2",5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",0,0,"Classical","Classical",0,0,4,0,0,0,0,0,0,NA
"14","5c3f31385c5fcf00015801cf","JN_15",5,0.610169492,1,2,3,5,5,5,5,"Whether they could follow on from one to the other reasonably well.",1,20,15,1,"Rock,Jazz,Classical",1,1,NA,"Instrument lessons,Music theory lessons",11,9,"Piano",9,"5",11,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",0,2,"Classical","Classical",5,1,15,2,10,2,10,2,15,"I was trying to work out my interpretation on what it meant by ""related"" so it took me a while to get the hang of it. Otherwise, no comments."
"15","5c800507a1d4b900114f28c4","JN_16",9,0.627118644,1,1,3,3,5,5,5,"The similarity of the tones",1,28,56,2,"Rock,Jazz,Metal",1,1,NA,"None",0,0,"Voice",21,"4",7,0,"Saxophone","0","Recorder","1","Guitar","3",NA,NA,NA,NA,"4",0,0,"Rock,Pop,Metal","Metal",0,0,0,0,10,1,10,2,25,"It was fun"
"16","5c879d4aeceaa40015d3f5c6","JN_17",6,0.677966102,0,2,2,3,3,5,3,"Only that they were within the same scale or what I perceived to be the right scale.",2,42,25,2,"Rock,Pop,R&B and Soul,Hip Hop,Jazz,Classical,Indie",1,0,NA,"Instrument lessons,Music theory lessons",10,7,"piano",7,"3",35,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",0,10,"Pop,Classical","classical",9,0,9,0,1,0,1,0,100,"Nothing to add other than thank you for letting me take part. All the best with your research."
"17","5ccb08a321e8d30016261cd8","JN_18",50,1,0,3,3,3,3,3,3,NA,2,19,10,0,"Pop",1,0,8,"Children's music classes/lessons",1,7,"recorder",7,"4",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",0,0,"R&B and Soul","n/a",5,4,5,4,5,5,5,5,24,NA
"18","5d09285a2b420b001a8e43f0","JN_19",6,0.644067797,1,5,5,3,5,5,5,"Whether I imagined them in the same piece of music",2,34,20,0,"Rock,Electronic/dance,Classical,Metal,Punk, indie, afrobeat, ska, reggae",1,1,NA,"Instrument lessons,Music theory lessons,Children's music classes/lessons",7,12,"Bass guitar",16,"6",14,3,"guitar","24","ukelele","12","synths","12","bodhran","10","keyboard","26","4",0,7,"Rock,Pop,R&B and Soul,Electronic/dance,Punk, world, indie","Indie rocj",2,2,3,3,5,3,1,1,93,"I started to get a headache part way through the survey, wasn't sure if that was part of the test! Other than that, a very thorough survey."
"19","5d21aed085192700013a5282","JN_20",8,0.576271186,1,2,5,2,5,3,5,"I was conscious of hearing or recognizing melody patterns or memories of melodies that I have previously heard in both classical and popular forms of music. Some of the melodies were slightly dissonant, but these types of melodies are often used in jazz as well as rock and work well as long as they connect with other notes previously heard within the sequence. Some of these melodies just had no connection and appeared random, which to the human ear does not sound as if there is any form or pattern that is being followed, and therefore not appealing. I was always looking for a connection within the melodies, something that would make sense or something that would inspire a jump to a new note that would work within the context of the melodic pattern, even if the note is slightly oblique.",1,61,20,1,"Rock,Pop,Electronic/dance,Jazz,Classical,Metal,Latin",1,1,NA,"None",0,0,"Voice",14,"7",46,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7",0,0,"Rock,Pop,Metal","Rock",0,0,20,5,20,10,3,3,30,"Excellent survey. I enjoyed it a lot."
"20","5d41d708128a05000183c461","JN_21",15,0.627118644,0,1,1,1,2,2,2,"NOT REALLY, JUST IF THE SOUNDED ALIKE",2,47,1,0,"Pop",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","5d4c65d1de72600016f87c14","JN_22",11,0.728813559,1,5,2,2,5,5,5,"The pitch and patterns",1,23,20,2,"Rock,R&B and Soul,Hip Hop,Jazz",1,1,NA,"Instrument lessons",2,7,"Voice",16,"4",7,0,"Drums","2","Recorder","1",NA,NA,NA,NA,NA,NA,"5",0,0,"None","Indie vPop",4,0,0,0,1,0,1,0,14,"I had an error and went over time, please fix my submission. Thank you!"
"22","5d64d8ddadc4e800182d259a","JN_23",12,0.559322034,0,2,5,3,5,5,3,"Pitch of notes",1,29,6,0.5,"Rock,Pop,Hip Hop,Jazz,Classical",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","5d6e3252dfe6d10001dbe508","JN_24",12,0.576271186,0,2,5,3,5,3,5,"No.",1,25,30,2,"Rock,Pop,R&B and Soul,Hip Hop,Electronic/dance,Classical,Folk",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","5d7e7207461e51001c5c236c","JN_26",11,0.525423729,0,1,2,3,3,2,3,"If the start of both sequences had the same note.",1,21,15,2,"Rock,Pop,R&B and Soul,Hip Hop,Electronic/dance,Jazz,Classical,Metal,Latin",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"None"
"25","5d811e6ab395350018786d78","JN_27",8,0.661016949,1,5,5,3,2,5,5,"how it general sounded to my ear",1,34,18,2,"Rock,R&B and Soul,Hip Hop,Electronic/dance,Jazz",1,1,NA,"Music coursework (high school),Children's music classes/lessons",3,10,"guitar",12,"3",8,2,"guitar","12","bass","3",NA,NA,NA,NA,NA,NA,"3",2,2,"Rock,Hip Hop,Electronic/dance","rock",3,4,5,6,7,8,2,2,62,"ALL WAS GOOD,THANK YOU"
"26","5d867b0c1b729e001795c98e","JN_28",8,0.644067797,1,1,3,3,5,2,5,"Mostly, I rated them based on how ""close"" the notes were to each other, meaning if the two melodies were in the same musical scale. Even if not, if the notes and melodies were similar enough I saw them as more related compared to melodies where the one clip differed too much from the other.",1,20,35,0,"Rock,Classical",1,1,NA,"Instrument lessons,Music theory lessons",10,5,"Piano",5,"5",15,10,"Acoustic Guitar","7","Bass Guitar","7","Electric Guitar","6","Drums","5","Ukulele","1","4",0,7,"Rock,Pop,Electronic/dance,Classical,Metal","Classical",40,5,30,5,50,5,50,5,10,"I really liked the survey. This is a period of my life where I'm lacking in musical stimulation, and it helped give me initiative to go play music again."
"27","5d87296392bb88000182f43a","JN_29",6,0.694915254,1,2,5,5,5,5,3,NA,2,34,20,0,"Pop,Country,R&B and Soul,Folk",1,1,NA,"Instrument lessons,Music theory lessons,Composition lessons,Music coursework (high school),Music coursework (college),Music coursework (past college),Children's music classes/lessons",30,4,"oboe",11,"7",23,20,"voice","30","piano","30",NA,NA,NA,NA,NA,NA,"6",5,10,"Rock,Pop,Country,Jazz,Classical,Folk","classical",4,1,6,10,10,8,15,0,1,NA
"28","5d94f3033ccbdd00171ff00a","JN_30",6,0.610169492,0,5,5,3,3,5,3,"no",2,41,8,2,"Pop",1,0,22,"Children's music classes/lessons",2,0,"piano",10,"2",2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",0,0,"Pop","pop",3,3,2,2,0,0,0,0,2,NA
"29","5d9dec3d3401780016fcf44c","JN_31",9,0.576271186,1,5,5,3,3,2,3,NA,2,40,8,0,"Rock,Pop,Country,Classical",1,1,NA,"Instrument lessons,Music theory lessons,Music coursework (high school)",8,11,"Flute",11,"4",39,5,"Piano","30",NA,NA,NA,NA,NA,NA,NA,NA,"3",0,6,"Pop,Classical","Classical",10,0,20,0,3,0,1,0,1,NA
"30","5db5a1329549e9000b27721a","JN_32",9,0.610169492,1,1,5,3,5,5,5,NA,1,23,15,0,"Rock,Pop,R&B and Soul,Hip Hop,Electronic/dance,Folk,lo-fi, rock instrumental",1,1,NA,"Instrument lessons,Music theory lessons,Composition lessons,Children's music classes/lessons",7,11,"guitar",11,"5",13,7,"guitar","13","contrabass","2",NA,NA,NA,NA,NA,NA,"2",0,5,"Rock,Pop,Classical,Folk","classical",0,0,5,0,3,0,6,0,5,NA
"31","5dc053a989691e000c6977d7","JN_33",5,0.627118644,1,2,3,5,5,5,5,NA,1,20,15,0,"Rock,Hip Hop,Electronic/dance,Classical",1,1,NA,"Instrument lessons,Music theory lessons,Composition lessons,Children's music classes/lessons",6,7,"Piano",7,"4",13,6,"Piano","13","Saxophone","4","Guitar","1",NA,NA,NA,NA,"2",1,6,"Pop,Classical","Classical",10,1,3,0,1,0,1,0,0,NA
"32","5dc0a28f27d05205683c8bb3","JN_34",6,0.881355932,1,3,5,5,5,5,5,"similarity, tonality, context",1,40,70,0,"Rock,Pop,Electronic/dance,Classical,Metal",1,1,NA,"Instrument lessons,Music theory lessons,Children's music classes/lessons,Self taught",1,8,"electric guitar",14,"6",26,1,"drums","15",NA,NA,NA,NA,NA,NA,NA,NA,"6",0,1,"Rock,Pop,Metal","Rock",0,0,15,1,25,13,20,10,50,NA
"33","5e301520e0abfd0164e22e68","JN_36",6,0.508474576,0,5,5,3,5,5,5,"scale",2,25,30,1,"Rock,Classical,Metal,Metalcore",1,0,20,"Instrument lessons,Music theory lessons,Music coursework (high school)",8,12,"drums",14,"5",6,6,"drums","12","piano","14",NA,NA,NA,NA,NA,NA,"4",0,3,"Rock,Pop,Metal,Metalcore","metalcore",0,0,22,2,20,3,1,0,0,"I really liked the study! Thank you!"
"34","5e3f1b09d859ae188f435677","JN_37",4,0.542372881,1,3,5,3,5,3,5,"I listened closely for melodies which felt either 'resolved' or at least on a conclusive cadence.",1,25,35,10,"Rock,Pop,Country,R&B and Soul,Jazz,Classical,Folk,Latin",1,1,NA,"Instrument lessons,Music theory lessons",2,10,"Guitar",15,"6",10,0,"Trumpet","2","Piano","5","Harmonica","8",NA,NA,NA,NA,"4",0,0,"Rock,Pop,Country,Classical,Folk","Rock/Pop",5,1,21,5,30,20,14,10,76,"This was a very interesting survey. It made me wonder if the melodic patterns I heard were related to how my ear has been 'trained' by the music I listen to."
"35","5e57a0020c3c6a14a1624031","JN_38",4,0.576271186,0,5,2,1,5,5,3,"I closed my eyes, and tried to draw each of them but it made me even more confused and sleepy",1,27,10,1,"Pop,Country,R&B and Soul,Hip Hop,Jazz",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
